"","GEO_ID","GEO_ID2","NAME","cogni2012","cogni2013","cogni2014","cogni2015","cogni2016","cogni2017","cogni2018","POP.2010","POP.2011","POP.2012","POP.2013","POP.2014","POP.2015","POP.2016","POP.2017","POP.2018","POP.2019"
"1","72001","0500000US72001","Adjuntas Municipio, Puerto Rico",1803,0.08963305646094,0.0823491860836259,0.0862914085645031,0.086756993006993,0.0818556930969109,0.0826537104517323,"19471","19297","19116","19022","18798","18565","18304","17934","17289","17363"
"2","72003","0500000US72003","Aguada Municipio, Puerto Rico",5726,0.153728959331613,0.149618663077613,0.150679042007031,0.141094199917729,0.134327573055577,0.123999890773054,"41908","41524","41094","40695","40122","39541","38896","38019","36621","36694"
"3","72005","0500000US72005","Aguadilla Municipio, Puerto Rico",6299,0.115354798697607,0.117991206712326,0.113228840125392,0.10421681212678,0.0878396251369837,0.0744651401906118,"60785","59988","58987","58047","57089","55825","54425","52926","50574","50265"
"4","72007","0500000US72007","Aguas Buenas Municipio, Puerto Rico",2676,0.0950100806451613,0.104194857916103,0.111057442223378,0.122722624143025,0.117533121561943,0.126713986126795,"28647","28328","28045","27776","27343","26914","26401","25814","24796","24814"
"5","72009","0500000US72009","Aibonito Municipio, Puerto Rico",2274,0.0964915805971949,0.107285959604219,0.114433032558526,0.107372881355932,0.109757155247181,0.100207919001989,"25874","25537","25203","24883","24458","24049","23600","23060","22124","22108"
"6","72011","0500000US72011","Añasco Municipio, Puerto Rico",1474,0.059018799357048,0.0700360245814791,0.0775177152673395,0.086593598025695,0.100418875338251,0.0984368398817068,"29267","29094","28849","28618","28314","27942","27554","26977","26037","26161"
"7","72013","0500000US72013","Arecibo Municipio, Puerto Rico",6263,0.0675723643873633,0.0708015999123336,0.0809339476355685,0.0807893328474966,0.0847663978085527,0.0882471162864347,"96232","95024","93849","92967","91255","89641","87821","85423","82099","81966"
"8","72015","0500000US72015","Arroyo Municipio, Puerto Rico",2330,0.128761665093845,0.107326922055151,0.0933218254396375,0.0802259267383198,0.0810295519542421,0.0665968098730935,"19574","19434","19249","19074","18821","18538","18236","17833","17178","17238"
"9","72017","0500000US72017","Barceloneta Municipio, Puerto Rico",3592,0.13828801611279,0.13285950813714,0.123410134503637,0.109102065862139,0.094755143436685,0.0824948840381992,"24822","24815","24801","24825","24763","24609","24445","24157","23456","23727"
"10","72019","0500000US72019","Barranquitas Municipio, Puerto Rico",2501,0.0809598714816426,0.0897176057289555,0.098468047357467,0.106341092767839,0.110935524652339,0.119349794537983,"30325","30193","30021","29879","29604","29309","28954","28476","27499","27725"
"11","72021","0500000US72021","Bayamón Municipio, Puerto Rico",28695,0.143219476633811,0.143319473283589,0.144093516453832,0.141494513378226,0.149813195615278,0.156932721317634,"207675","204498","201028","197529","193121","188801","183993","178529","170366","169269"
"12","72023","0500000US72023","Cabo Rojo Municipio, Puerto Rico",3471,0.0725744238947681,0.0726884977976202,0.0677271631718486,0.0663817202122919,0.0738257793863618,0.0751442634080109,"50984","50813","50659","50555","50173","49788","49366","48628","47136","47515"
"13","72025","0500000US72025","Caguas Municipio, Puerto Rico",13937,0.0983125405639288,0.105870726886758,0.114834494254926,0.118188010899183,0.119489945141248,0.123914302258251,"142861","141499","140096","138670","136610","134376","132120","129241","124344","124606"
"14","72027","0500000US72027","Camuy Municipio, Puerto Rico",2608,0.0809588155807532,0.0907083606850868,0.0993694676852189,0.100676531463347,0.0989264287969687,0.099290780141844,"35112","34763","34379","34042","33514","32988","32371","31670","30456","30504"
"15","72029","0500000US72029","Canóvanas Municipio, Puerto Rico",3431,0.0732881897711978,0.0783840947546531,0.0827025989808754,0.0789309192800948,0.0839624499442001,0.0782679406383411,"47690","47670","47654","47552","47280","46903","46395","45699","44271","44674"
"16","72031","0500000US72031","Carolina Municipio, Puerto Rico",14240,0.0931152949274029,0.102034027471165,0.10931834326837,0.111709686179653,0.114666251467793,0.110971791083217,"176442","173866","171138","168533","165337","161885","158339","154143","147542","146984"
"17","72033","0500000US72033","Cataño Municipio, Puerto Rico",2191,0.073717230562402,0.0766210498227423,0.0931793351022319,0.105242144767836,0.114176465751172,0.12195016997289,"28091","27643","27188","26778","26233","25628","25047","24322","23239","23121"
"18","72035","0500000US72035","Cayey Municipio, Puerto Rico",9734,0.202552481935953,0.193236505527856,0.179495073891626,0.171515908786648,0.15355003302886,0.147687000897793,"48123","47681","47234","46778","46130","45472","44818","43901","42326","42409"
"19","72037","0500000US72037","Ceiba Municipio, Puerto Rico",909,0.0694617299315495,0.0577490627741884,0.0475139025188093,0.0480349344978166,0.0498439667128988,0.0391925070473766,"13595","13336","13072","12856","12537","12228","11908","11536","10997","10904"
"20","72039","0500000US72039","Ciales Municipio, Puerto Rico",1437,0.0597338974558815,0.0640597589270556,0.0801984768059082,0.0974289580514208,0.111527081697965,0.111286155397316,"18744","18455","18190","17963","17671","17332","16997","16561","15869","15808"
"21","72041","0500000US72041","Cidra Municipio, Puerto Rico",7716,0.176114409574969,0.182013717945654,0.172264013588935,0.168929407416533,0.169113388562939,0.171825531803553,"43475","43159","42761","42444","41843","41210","40585","39713","38219","38307"
"22","72043","0500000US72043","Coamo Municipio, Puerto Rico",2914,0.062738112908812,0.0649738610903659,0.0715234776504801,0.0723492618197473,0.0677992198727161,0.0706755792755423,"40591","40586","40481","40422","40170","39889","39489","38968","37849","38336"
"23","72045","0500000US72045","Comerío Municipio, Puerto Rico",2048,0.118999754841873,0.149059405940594,0.152116203355873,0.172026050676707,0.183892547840066,0.175963816497954,"20795","20631","20495","20395","20200","19965","19654","19283","18572","18648"
"24","72047","0500000US72047","Corozal Municipio, Puerto Rico",3288,0.0935385468663339,0.0922977382693822,0.0950094323443663,0.105309090909091,0.103873291851499,0.117176601878546,"37123","36781","36419","36060","35548","34986","34375","33589","32259","32293"
"25","72049","0500000US72049","Culebra Municipio, Puerto Rico",100,0.0523127753303965,0.0468836183121897,0.0536504424778761,0.0323119777158774,0.0316027088036117,0.0204081632653061,"1820","1813","1814","1816","1813","1808","1795","1772","1715","1714"
"26","72051","0500000US72051","Dorado Municipio, Puerto Rico",2931,0.0780759573132454,0.0713460123988652,0.0626868831203197,0.068587911647659,0.0606257795130416,0.0661334973854199,"38228","38260","38220","38232","38068","37791","37441","36882","35761","36141"
"27","72053","0500000US72053","Fajardo Municipio, Puerto Rico",3513,0.102893060099879,0.103111923144928,0.102694366324957,0.103042167738728,0.103898604203433,0.110654495233604,"36881","36227","35516","34842","33934","33069","32181","31165","29687","29454"
"28","72054","0500000US72054","Florida Municipio, Puerto Rico",1553,0.113210581329903,0.0945079905897623,0.0934879131721756,0.0784772082150609,0.0798534174194648,0.0807579916762596,"12684","12585","12507","12437","12327","12162","11978","11734","11293","11317"
"29","72055","0500000US72055","Guánica Municipio, Puerto Rico",1883,0.101222788835883,0.103341757933165,0.091307102943718,0.0920631154348084,0.1003305582762,0.0983902124919511,"19371","18970","18616","18237","17805","17359","16858","16336","15530","15383"
